Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values
4.1,158,M,,,,,,4.1,38.5,M,,,,,,4.1,197.8,M,,,,,,4.7,39.2,M,,,,,,4.7,200.5,M,,,,,,7.4,162.7,L,,,,,,6.8,129.6,L,,,,,,14.2,58.1,S,,,,
4.1,181.6,L,,,,,,4.1,73.6,M,,,,,,4.1,227.5,S,,,,,,4.7,60.1,L,,,,,,5.4,92.5,L,,,,,,7.4,203.2,M,,,,,,6.8,220.1,L,,,,,,14.9,7.4,M,,,,
4.1,197.8,M,,,,,,4.1,93.9,L,,,,,,4.1,232.3,S,,,,,,4.7,69.5,L,,,,,,5.4,102,M,,,,,,8.1,8.8,M,,,,,,6.8,283.6,M,,,,,,15.5,23,NC,,,,
4.1,210.7,L,,,,,,4.1,100.6,M,,,,,,4.7,21.6,L,,,,,,4.7,87.1,M,,,,,,5.4,106,M,,,,,,8.1,35.1,L,,,,,,7.4,78.3,L,,,,,,15.5,160,M,,,,
4.1,226.9,M,,,,,,4.1,110.1,L,,,,,,4.7,33.8,L,,,,,,4.7,113.4,M,,,,,,5.4,114.8,L,,,,,,8.1,41.9,M,,,,,,7.4,278.2,L,,,,,,16.2,89.1,M,,,,
4.5,37,L,,,,,,4.1,132.3,M,,,,,,4.7,50.6,M,,,,,,4.7,120.2,L,,,,,,6.1,10.8,L,,,,,,8.1,61.4,M,,,,,,8.1,9.5,L,,,,,,16.2,109.4,M,,,,
4.5,69.1,M,,,,,,4.1,177.6,M,,,,,,4.7,99.3,M,,,,,,4.7,208,M,,,,,,6.1,33.8,L,,,,,,8.1,70.9,M,,,,,,8.1,139.1,L,,,,,,16.2,138.4,M,,,,
4.7,13.5,M,,,,,,4.4,71.6,M,,,,,,4.7,115.5,L,,,,,,5.4,25,L,,,,,,6.1,88.5,M,,,,,,8.1,89.1,M,,,,,,8.1,170.8,S,,,,,,16.2,166.8,M,,,,
4.7,86.4,M,,,,,,4.4,135.5,M,,,,,,4.7,122.2,L,,,,,,5.4,34.4,M,,,,,,6.1,109.4,M,,,,,,8.1,128.3,M,,,,,,8.1,175.6,L,,,,,,16.2,195.8,L,,,,
4.7,131.7,M,,,,,,4.7,41.9,M,,,,,,4.7,126.9,M,,,,,,5.4,56,L,,,,,,6.1,133,L,,,,,,8.1,198.5,M,,,,,,8.1,232.9,L,,,,,,16.9,205.9,M,,,,
4.7,147.2,L,,,,,,4.7,46.6,L,,,,,,4.7,171.5,M,,,,,,5.4,79.7,M,,,,,,6.1,141.1,M,,,,,,8.8,66.8,M,,,,,,8.8,208,L,,,,,,16.9,235,NC,,,,
4.7,166.2,M,,,,,,4.7,56.7,NC,,,,,,5.4,10.1,L,,,,,,5.4,102.6,L,,,,,,6.1,149.2,M,,,,,,8.8,98.6,L,,,,,,9.5,27,L,,,,,,16.9,243.1,M,,,,
5.2,118.1,L,,,,,,4.7,116.8,M,,,,,,5.4,29,M,,,,,,5.4,106,M,,,,,,6.1,160.7,L,,,,,,9.5,51.3,M,,,,,,9.5,31.7,L,,,,,,17.6,68.9,NC,,,,
5.2,201,M,,,,,,4.7,156,M,,,,,,5.4,41.2,L,,,,,,5.4,129.6,L,,,,,,6.1,176.2,S,,,,,,9.5,144.5,M,,,,,,9.5,53.3,M,,,,,,17.6,78.3,L,,,,
5.2,214,M,,,,,,4.7,191.8,L,,,,,,5.4,45.2,L,,,,,,5.4,144.5,M,,,,,,6.1,195.1,L,,,,,,9.5,156.6,L,,,,,,9.5,162.7,M,,,,,,17.6,176.2,L,,,,
5.3,47.8,M,,,,,,4.7,203.2,M,,,,,,5.4,87.8,L,,,,,,5.4,156.6,M,,,,,,6.8,43.2,M,,,,,,9.5,178.9,S,,,,,,9.5,201.9,L,,,,,,17.6,274.8,NC,,,,
5.4,16.9,M,,,,,,4.7,211.3,L,,,,,,5.4,175.6,L,,,,,,5.4,199.9,L,,,,,,6.8,80.3,L,,,,,,9.5,183.7,L,,,,,,9.5,304.5,L,,,,,,18.2,131.7,S,,,,
5.4,33.1,M,,,,,,4.7,233.6,M,,,,,,5.4,201.2,M,,,,,,6.1,51.3,M,,,,,,6.8,124.9,L,,,,,,10.1,4.7,M,,,,,,10.1,45.2,L,,,,,,18.2,146.5,L,,,,
5.4,62.8,L,,,,,,5.4,61.4,L,,,,,,5.5,105.4,M,,,,,,6.1,152.6,L,,,,,,6.8,137.1,L,,,,,,10.1,109.4,L,,,,,,10.1,89.8,M,,,,,,18.2,220.8,L,,,,
5.4,89.8,L,,,,,,5.4,79,M,,,,,,6.1,151.9,L,,,,,,6.1,176.9,L,,,,,,6.8,145.2,L,,,,,,10.1,139.8,L,,,,,,10.1,124.9,L,,,,,,18.9,189.7,L,,,,
5.4,93.2,M,,,,,,5.4,85.1,M,,,,,,6.1,179.6,L,,,,,,6.8,45.9,L,,,,,,6.8,191.1,L,,,,,,10.1,192.4,S,,,,,,10.1,180.3,M,,,,,,18.9,251.8,S,,,,
5.4,141.1,M,,,,,,5.4,187,L,,,,,,6.1,205.3,S,,,,,,6.8,73.6,M,,,,,,6.8,204.6,L,,,,,,10.8,79.7,M,,,,,,10.1,247.8,M,,,,,,20.3,52,L,,,,
5.4,216.7,NC,,,,,,6.1,8.8,M,,,,,,6.1,221.5,M,,,,,,6.8,135,M,,,,,,6.8,208.6,M,,,,,,10.8,117.5,L,,,,,,10.1,255.9,S,,,,,,20.3,96.6,L,,,,
5.7,160.6,M,,,,,,6.1,12.8,M,,,,,,6.2,210.6,M,,,,,,6.8,141.1,L,,,,,,6.8,235.6,L,,,,,,10.8,122.9,M,,,,,,10.1,263.3,M,,,,,,20.3,267.4,L,,,,
5.8,134.6,L,,,,,,6.1,23.6,L,,,,,,6.8,13.5,M,,,,,,6.8,170.1,M,,,,,,7.4,29.7,M,,,,,,10.8,151.9,S,,,,,,10.8,68.2,L,,,,,,20.3,291.7,L,,,,
6,101.3,M,,,,,,6.1,50.6,M,,,,,,6.8,60.1,L,,,,,,6.8,203.2,M,,,,,,7.4,53.3,M,,,,,,10.8,214.7,L,,,,,,10.8,135,M,,,,,,20.9,284.3,L,,,,
6,108.8,M,,,,,,6.1,54,M,,,,,,6.8,63.5,L,,,,,,6.8,213.4,M,,,,,,7.4,65.5,S,,,,,,10.8,220.1,M,,,,,,10.8,269.4,M,,,,,,21.6,26.3,M,,,,
6.1,27,M,,,,,,6.1,65.5,L,,,,,,6.8,72.2,L,,,,,,6.8,219.4,M,,,,,,7.4,84.4,L,,,,,,11.5,210.7,M,,,,,,10.8,274.8,L,,,,,,21.6,62.8,M,,,,
6.1,30.4,M,,,,,,6.1,106.7,L,,,,,,6.8,75.6,L,,,,,,7.4,20.9,M,,,,,,7.4,118.8,L,,,,,,12.2,16.9,M,,,,,,10.8,295.1,L,,,,,,21.6,123.6,M,,,,
6.1,56.7,M,,,,,,6.1,122.9,M,,,,,,6.8,141.8,M,,,,,,7.4,31.1,M,,,,,,7.4,129,L,,,,,,12.2,30.4,M,,,,,,11.5,4.7,M,,,,,,21.6,229.6,M,,,,
6.1,115.5,M,,,,,,6.1,126.9,M,,,,,,6.8,145.8,M,,,,,,7.4,65.5,L,,,,,,7.4,216.1,M,,,,,,12.2,47.3,M,,,,,,11.5,21.6,M,,,,,,22.3,16.9,M,,,,
6.1,126.3,L,,,,,,6.1,143.1,M,,,,,,6.8,191.8,M,,,,,,7.4,196.5,L,,,,,,8.1,20.9,L,,,,,,12.2,104,L,,,,,,11.5,38.5,M,,,,,,22.3,214,M,,,,
6.1,155.3,M,,,,,,6.1,149.2,M,,,,,,7.3,137.8,M,,,,,,7.4,235.6,M,,,,,,8.1,47.9,M,,,,,,12.2,132.3,L,,,,,,11.5,112.1,L,,,,,,23.6,115.5,M,,,,
6.1,171.5,M,,,,,,6.1,166.1,L,,,,,,7.4,6.1,S,,,,,,8.1,12.2,M,,,,,,8.1,61.4,M,,,,,,12.2,174.9,L,,,,,,11.5,185.7,M,,,,,,23.6,237,L,,,,
6.1,177.6,M,,,,,,6.1,199.2,M,,,,,,7.4,17.6,L,,,,,,8.1,41.9,M,,,,,,8.1,156,S,,,,,,12.2,206.6,S,,,,,,11.5,215.4,L,,,,,,24.3,45.2,L,,,,
6.1,188.4,M,,,,,,6.1,215.4,M,,,,,,7.4,25,L,,,,,,8.1,83,L,,,,,,8.1,166.8,L,,,,,,12.8,21.6,L,,,,,,11.5,222.8,M,,,,,,24.3,85.1,L,,,,
6.1,203.9,M,,,,,,6.1,219.4,M,,,,,,7.4,67.5,L,,,,,,8.1,91.8,M,,,,,,8.1,182.3,L,,,,,,12.8,38.5,L,,,,,,12.2,84.4,M,,,,,,24.3,299.8,L,,,,
6.8,8.1,M,,,,,,6.1,226.9,L,,,,,,7.4,90.5,M,,,,,,8.1,96.6,M,,,,,,8.1,212.7,M,,,,,,12.8,57.4,M,,,,,,12.2,94.5,S,,,,,,25,35.1,L,,,,
6.8,20.9,M,,,,,,6.5,4.4,L,,,,,,7.4,111.4,L,,,,,,8.1,126.3,M,,,,,,8.1,223.5,S,,,,,,12.8,165.3,M,,,,,,12.2,118.2,L,,,,,,25,151.9,M,,,,
6.8,39.2,NC,,,,,,6.8,97.2,S,,,,,,7.4,132.3,M,,,,,,8.1,162.7,S,,,,,,8.8,6.8,M,,,,,,12.8,169.5,L,,,,,,12.2,145.2,M,,,,,,25,160,S,,,,
6.8,71.6,L,,,,,,6.8,103.3,L,,,,,,7.4,158.7,L,,,,,,8.1,166.1,L,,,,,,8.8,70.2,L,,,,,,13.3,160.3,M,,,,,,12.2,157.3,M,,,,,,25.7,168.1,M,,,,
6.8,81.7,M,,,,,,6.8,113.4,M,,,,,,7.4,162,L,,,,,,8.1,181.6,M,,,,,,8.8,95.9,L,,,,,,13.5,12.8,L,,,,,,12.2,191.1,M,,,,,,25.7,199.9,M,,,,
6.8,98.6,M,,,,,,6.8,137.1,M,,,,,,7.4,165.4,M,,,,,,8.1,191.8,M,,,,,,8.8,170.8,L,,,,,,13.5,74.9,L,,,,,,12.8,61.4,L,,,,,,25.7,260,M,,,,
6.8,112.1,M,,,,,,6.8,158.7,M,,,,,,7.4,183.7,M,,,,,,8.2,223.5,NC,,,,,,9.5,13.5,L,,,,,,13.5,84.4,M,,,,,,12.8,74.3,M,,,,,,26.3,70.2,L,,,,
6.8,184.3,M,,,,,,6.8,162.7,NC,,,,,,7.4,195.1,M,,,,,,8.5,187.8,M,,,,,,9.5,17.6,L,,,,,,14.2,90.5,L,,,,,,12.8,99.9,L,,,,,,27,104.7,M,,,,
6.8,220.1,M,,,,,,6.8,170.1,M,,,,,,7.4,216.7,NC,,,,,,8.8,87.8,L,,,,,,9.5,57.4,L,,,,,,14.9,97.2,L,,,,,,12.8,175.6,NC,,,,,,27.7,137.1,L,,,,
6.8,224.2,M,,,,,,6.8,173.5,M,,,,,,7.5,135.3,M,,,,,,8.8,99.9,M,,,,,,9.5,74.3,S,,,,,,14.9,185.7,L,,,,,,12.8,288.3,M,,,,,,27.7,245.1,M,,,,
