Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.4,274.9,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.3,172.1,L,,,,,,377.5,277.5,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.6,189.1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.3,141.8,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.4,331.2,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.1,16.3,L,,,,,,379,124,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.6,296.1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.3,148,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.2,46.2,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.1,24.8,L,,,,,,379,129.4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.3,20.2,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.3,169,M,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.2,157.9,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.1,50.4,L,,,,,,379,158.9,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.3,76,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.3,218.6,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.2,183.3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.1,67.4,L,,,,,,379.8,24.8,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.3,162.8,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,3.9,M,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,40,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.1,118.6,M,,,,,,379.8,194.5,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.3,169.7,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,57.4,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,58.5,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.1,189.1,L,,,,,,379.8,255.8,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.3,195.3,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,82.9,M,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,65.5,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.1,210.8,L,,,,,,380.6,6.2,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.3,235.6,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,193,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,138.6,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.9,3.9,S,,,,,,380.6,86,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.3,242.6,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,212.4,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,218.7,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.9,80.6,L,,,,,,380.6,247.2,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.3,262.7,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.8,11.6,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,234.9,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.9,88.4,L,,,,,,380.6,268.9,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.3,268.2,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.8,32.6,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,291.1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.9,109.3,L,,,,,,381.3,52.7,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.1,12.4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.8,69.8,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,315.7,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.9,124,M,,,,,,381.3,65.9,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.1,41.9,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.8,73.6,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.7,27,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.9,154.2,L,,,,,,381.3,73.6,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.1,124.8,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.8,127.9,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.7,33.9,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.9,237.9,L,,,,,,381.3,117,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.1,133.3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.8,182.9,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.7,52.4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.7,10.9,NC,,,,,,382.1,107,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.1,248,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.8,237.2,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.7,171.7,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.7,38.8,L,,,,,,382.1,136.4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.9,48.1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.6,61.2,S,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.7,199.5,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.7,44.2,L,,,,,,382.1,152.7,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.9,117,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.6,90.7,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.4,244.7,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.7,54.3,L,,,,,,382.1,171.3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.9,142.6,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.6,94.6,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.5,16.2,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.7,72.1,L,,,,,,382.1,211.6,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.9,213.1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.6,107,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.5,100.1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.7,100,L,,,,,,382.1,227.1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.9,224.8,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.6,137.2,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.5,164.8,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.7,182.1,M,,,,,,382.1,236.4,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.7,64.3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.6,151.9,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.5,178.7,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.7,193,M,,,,,,382.9,13.2,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.7,94.6,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.6,203.1,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.5,265.7,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.7,204.6,L,,,,,,382.9,58.1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.7,155,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.6,230.2,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.5,310.4,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.4,34.9,L,,,,,,383.7,185.2,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.7,219.3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.4,43.4,M,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.7,127.2,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.4,62.8,L,,,,,,385.2,31.8,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.7,282.1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.4,52.7,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.3,6.9,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.4,93.8,L,,,,,,385.2,79.8,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.4,3.9,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.4,114.7,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.3,80.1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.4,139.5,L,,,,,,385.2,144.9,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.4,111.6,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.4,162,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.3,203.3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.4,166.6,L,,,,,,386,90.7,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.4,184.5,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.4,177.5,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.3,301.9,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.2,30.2,S,,,,,,386,217.8,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.4,231,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.1,15.5,M,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.9,320.2,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.2,58.9,L,,,,,,386,262,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.4,272.8,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.1,21.7,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.1,87,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.2,84.5,L,,,,,,386.8,38.8,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.4,293,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.1,28.7,M,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.1,94,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.2,143.4,L,,,,,,386.8,120.1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.2,55.8,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.1,48.1,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.1,106.3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.2,222.4,M,,,,,,386.8,275.1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.2,172.8,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.1,77.5,S,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.4,249.1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.2,231.7,L,,,,,,387.5,19.4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.2,203.1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.1,86,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.8,143.2,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,21.7,L,,,,,,387.5,48.1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.2,254.2,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.1,103.1,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.8,150.2,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,113.9,M,,,,,,387.5,132.5,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.2,258.9,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.1,117.8,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.8,271.1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,175.2,L,,,,,,387.5,164.3,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.2,286.8,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.1,167.4,M,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.8,286.5,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,196.1,L,,,,,,387.5,176.7,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,82.9,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.1,172.1,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.8,295.7,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,217,L,,,,,,387.5,199.2,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,137.2,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.1,188.3,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.3,115.1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,227.1,L,,,,,,387.5,241.8,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,146.5,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.1,207.7,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.6,73.9,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.8,17.8,L,,,,,,387.5,251.9,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,191.4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.9,7.8,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.6,130.9,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.8,49.6,L,,,,,,389.1,71.3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,266.6,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.9,35.7,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.6,225.6,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.8,179,L,,,,,,389.1,96.9,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.8,14.7,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.9,39.5,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.6,254.1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.5,76,L,,,,,,389.1,112.4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.8,29.5,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.9,65.9,M,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.4,57.8,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.5,122.5,M,,,,,,389.9,26.4,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.8,72.9,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.9,131.8,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.4,120.1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.5,148,L,,,,,,389.9,62,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.8,179,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.9,142.6,M,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.4,183.3,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.5,212.4,M,,,,,,389.9,154.2,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.8,198.4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.9,220.9,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.4,194.8,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.3,6.2,L,,,,,,389.9,189.9,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.8,235.6,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.9,226.3,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.4,210.2,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.3,10.9,L,,,,,,389.9,205.4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.8,241.8,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.7,56.6,M,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.4,217.2,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.3,45,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.5,103.9,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.7,82.2,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.4,239.5,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.3,68.2,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.5,160.4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.7,158.1,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.4,324.2,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.3,96.9,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.5,248.8,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.7,240.3,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.4,330.4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.3,102.3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.5,278.2,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.5,3.9,M,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.1,43.1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.3,107.7,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.3,36.4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.5,18.6,M,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.1,62.4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.3,128.7,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.3,89.1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.5,73.6,M,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.1,230.3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.3,160.4,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.3,118.6,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.5,98.4,M,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.1,277.2,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.3,188.3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.3,131,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.5,110.1,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.6,48.4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.3,236.4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.3,166.6,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.5,123.2,S,,,,,,,,,,,,
